1,0.02,1.96845
1,0.04,2.90511
1,0.06,3.80975
1,0.08,4.68213
1,0.1,5.52199
1,0.12,6.32908
1,0.14,7.10315
1,0.16,7.84393
1,0.18,8.55116
1,0.2,9.22456
1,0.22,9.86384
1,0.24,10.4687
1,0.26,11.0389
1,0.28,11.5742
1,0.3,12.0741
1,0.32,12.5385
1,0.34,12.9669
1,0.36,13.3591
1,0.38,13.7148
1,0.4,14.0335
1,0.42,14.3151
1,0.44,14.559
1,0.46,14.765
1,0.48,14.9327
1,0.5,15.0618
1,0.52,15.1518
1,0.54,15.2023
1,0.56,15.2131
1,0.58,15.1836
1,0.6,15.1135
1,0.62,15.0023
1,0.64,14.8497
1,0.66,14.6552
1,0.68,14.4183
1,0.7,14.1386
1,0.72,13.8157
1,0.74,13.449
1,0.76,13.0381
1,0.78,12.5825
1,0.8,12.0817
1,0.82,11.5352
1,0.84,10.9425
1,0.86,10.303
1,0.88,9.61618
1,0.9,8.88154
1,0.92,8.09849
1,0.94,7.26645
1,0.96,6.38485
1,0.98,5.45307
1,1,4.47051
1,1.02,3.43655
